,income,credit_score,loan_amount,years_employed,points,loan_approved
677,55825,482,26384,23,35.0,False
678,77739,332,46364,36,40.0,False
679,86531,525,20343,38,50.0,False
680,39171,535,6667,26,35.0,False
681,117062,314,48842,27,45.0,False
682,73279,305,28379,2,30.0,False
683,111678,400,30651,31,50.0,False
684,71145,667,20384,15,55.0,False
685,116951,324,30808,29,50.0,False
686,141151,372,26223,21,55.0,False
687,46334,643,49218,3,30.0,False
688,124339,341,24958,23,55.0,False
689,147970,544,36365,7,50.0,False
690,69363,530,22001,22,40.0,False
691,96469,797,33863,33,80.0,True
692,70538,367,13343,29,45.0,False
693,117410,451,33527,9,45.0,False
694,83528,435,32057,22,45.0,False
695,72753,537,35053,21,35.0,False
696,82743,755,31015,19,80.0,True
697,121384,595,4101,9,70.0,True
698,68752,486,12492,9,40.0,False
699,102667,488,14445,35,55.0,False
700,46683,466,35972,19,25.0,False
701,55144,459,1281,34,50.0,False
702,85108,450,38043,28,40.0,False
703,117153,756,24422,5,85.0,True
704,79695,584,13826,1,50.0,False
705,118777,625,40529,38,65.0,True
706,128059,678,26304,23,80.0,True
707,148332,520,48700,28,50.0,False
708,52810,734,48749,26,60.0,True
709,110676,837,22981,4,85.0,True
710,104593,724,12461,35,80.0,True
711,69446,596,37298,31,50.0,False
712,83225,529,2758,0,40.0,False
713,101819,727,12755,31,80.0,True
714,139278,670,39080,30,75.0,True
715,30053,682,34588,36,50.0,False
716,69829,438,24421,10,40.0,False
717,67606,842,42873,4,65.0,True
718,57549,630,21723,19,55.0,False
719,86346,440,34958,18,40.0,False
720,132990,815,15490,12,95.0,True
721,106019,419,9600,1,45.0,False
722,109516,650,12285,19,70.0,True
723,115813,428,14752,8,50.0,False
724,72237,343,13868,6,40.0,False
725,90946,344,5341,19,55.0,False
726,87905,489,44948,22,40.0,False
727,87954,660,11522,32,65.0,True
728,118555,841,15221,12,95.0,True
729,58010,816,47383,30,75.0,True
730,97000,734,15042,32,75.0,True
731,92021,807,24674,18,85.0,True
732,134036,754,15802,35,90.0,True
733,148119,483,1837,31,60.0,True
734,134336,404,49590,10,50.0,False
735,126463,811,19252,37,95.0,True
736,52241,796,34516,17,70.0,True
737,116356,330,7527,3,50.0,False
738,41114,634,11009,19,45.0,False
739,67196,600,44390,31,50.0,False
740,97561,421,26141,28,45.0,False
741,117012,468,33209,27,50.0,False
742,112960,781,32189,35,85.0,True
743,111167,661,19640,20,70.0,True
744,73933,327,41970,21,35.0,False
745,42240,553,16376,19,30.0,False
746,137272,320,36285,20,50.0,False
747,128453,322,21743,24,55.0,False
748,60784,644,33553,32,50.0,False
749,118184,506,33568,40,50.0,False
750,70687,604,38586,25,50.0,False
751,59444,843,32147,27,75.0,True
752,135717,743,44480,34,85.0,True
753,56100,484,2219,40,50.0,False
754,49313,778,18559,40,65.0,True
755,33201,834,14149,23,65.0,True
756,36057,626,5222,40,50.0,False
757,62092,541,27598,15,35.0,False
758,92277,746,28657,2,70.0,True
759,110120,343,48348,31,45.0,False
760,141376,716,24818,5,75.0,True
761,130727,812,8906,33,100.0,True
762,39545,543,40309,7,20.0,False
763,89692,733,15287,9,70.0,True
764,84321,357,33136,34,45.0,False
765,146147,584,10496,23,75.0,True
766,112544,545,17579,35,55.0,False
767,105454,697,1515,25,85.0,True
768,55485,464,29760,40,35.0,False
769,124155,782,49296,26,85.0,True
770,121272,818,5349,22,100.0,True
771,80328,353,43033,11,40.0,False
772,94799,621,38736,5,50.0,False
773,82383,720,21932,28,70.0,True
774,61979,386,28164,23,35.0,False
775,49342,534,6831,29,35.0,False
776,115990,452,6836,23,60.0,True
777,120128,806,8766,14,100.0,True
778,30726,691,9532,27,55.0,False
779,147002,728,12820,26,85.0,True
780,128430,554,25224,37,55.0,False
781,142779,707,46013,13,75.0,True
782,130931,360,4415,21,60.0,True
783,146059,609,26866,23,70.0,True
784,43970,804,23228,29,65.0,True
785,132029,345,9380,31,60.0,True
786,85724,570,34880,20,40.0,False
787,58683,750,4487,12,85.0,True
788,53053,796,30999,31,70.0,True
789,135396,484,12029,32,60.0,True
790,121214,304,35472,36,50.0,False
791,97889,326,19630,7,45.0,False
792,90889,771,47380,30,75.0,True
793,36582,632,48942,36,40.0,False
794,103060,372,36858,38,50.0,False
795,62662,466,26460,25,35.0,False
796,141193,617,45889,38,65.0,True
797,45906,697,32223,17,50.0,False
798,89829,736,7091,2,70.0,True
799,47477,837,6503,18,75.0,True
800,135043,607,17295,33,70.0,True
801,90901,722,7192,29,80.0,True
802,117500,316,8466,29,60.0,True
803,99616,621,39483,29,60.0,True
804,103259,516,13129,5,50.0,False
805,108047,704,8646,0,70.0,True
806,71588,704,20834,5,60.0,True
807,128992,514,32530,9,45.0,False
808,146840,774,10710,30,95.0,True
809,88008,320,30459,37,45.0,False
810,110301,405,42314,27,50.0,False
811,136824,797,34643,37,85.0,True
812,124276,840,2246,27,100.0,True
813,146918,806,41809,22,90.0,True
814,96162,537,34268,14,45.0,False
815,85933,699,28319,23,70.0,True
816,138864,388,44716,30,50.0,False
817,148863,610,16382,13,70.0,True
818,101810,478,33995,2,40.0,False
819,88446,798,17896,21,85.0,True
820,147598,406,47294,3,40.0,False
821,50861,342,34246,6,30.0,False
822,127472,752,34154,31,85.0,True
823,142917,506,29777,26,55.0,False
824,92216,475,6585,17,55.0,False
825,88991,842,28637,14,85.0,True
826,63972,670,2950,28,75.0,True
827,128536,468,29447,3,45.0,False
828,62406,832,20380,26,80.0,True
829,140082,652,1517,17,75.0,True
830,113579,752,46709,22,80.0,True
831,66347,850,22921,24,80.0,True
832,130376,619,35166,21,65.0,True
833,131931,732,34113,7,70.0,True
834,98327,759,20527,36,85.0,True
835,93517,443,47815,24,40.0,False
836,112149,383,7045,3,50.0,False
837,61358,831,26872,16,75.0,True
838,65992,466,10459,32,45.0,False
839,87654,333,49922,10,40.0,False
840,40155,596,3639,33,55.0,False
841,123525,446,10315,37,60.0,True
842,67450,302,9016,35,45.0,False
843,60735,686,32144,38,60.0,True
844,65614,633,6853,39,60.0,True
845,74020,753,49228,17,70.0,True
846,71904,387,13610,39,45.0,False
847,147050,319,8882,34,60.0,True
848,100798,754,6547,34,95.0,True
849,40561,324,35596,20,25.0,False
850,48136,561,6873,9,30.0,False
851,49769,605,26555,6,35.0,False
852,60311,353,14274,15,45.0,False
853,80205,362,21862,29,45.0,False
854,120957,403,17142,35,55.0,False
855,50028,508,10330,23,45.0,False
856,122591,762,3738,0,80.0,True
857,58043,793,18911,38,75.0,True
858,38418,588,3980,10,50.0,False
859,84377,586,29309,13,60.0,True
860,83424,579,17117,20,50.0,False
861,73369,787,1280,0,70.0,True
862,101121,383,43539,4,35.0,False
863,91069,685,40407,22,65.0,True
864,84496,755,1613,14,90.0,True
865,38161,526,16352,31,25.0,False
866,57110,705,8270,17,70.0,True
867,139168,366,9351,16,60.0,True
868,85069,845,41269,16,80.0,True
869,81049,630,29347,26,60.0,True
870,148598,529,4077,17,60.0,True
871,130898,325,49329,14,50.0,False
872,106556,618,5118,40,75.0,True
873,121163,556,17197,6,50.0,False
874,32560,374,40319,39,25.0,False
875,142293,686,21531,4,70.0,True
876,145429,367,7673,3,50.0,False
877,130348,310,30714,24,55.0,False
878,105456,764,34896,21,85.0,True
879,79857,429,42770,32,40.0,False
880,92518,345,4964,8,50.0,False
881,30772,449,10660,30,30.0,False
882,76105,358,16557,32,50.0,False
883,69139,506,5482,21,50.0,False
884,128759,636,11635,6,70.0,True
885,81116,535,31574,39,45.0,False
886,141863,510,27234,11,55.0,False
887,146869,445,20043,28,55.0,False
888,139540,478,15348,16,55.0,False
889,84921,568,7631,1,40.0,False
890,100545,767,16738,23,90.0,True
891,127978,421,10465,8,55.0,False
892,126289,550,4027,39,60.0,True
893,101582,586,9287,32,75.0,True
894,134840,471,34332,24,50.0,False
895,109069,629,47693,23,60.0,True
896,147677,337,14579,14,60.0,True
897,58906,686,38445,10,60.0,True
898,93993,755,35001,22,80.0,True
899,58760,742,27801,23,70.0,True
900,65774,377,24533,5,35.0,False
901,87125,400,8771,4,40.0,False
902,93654,495,47244,38,40.0,False
903,33804,713,27591,37,50.0,False
904,80968,532,48404,13,40.0,False
905,74057,648,6627,20,65.0,True
906,117670,330,25556,8,50.0,False
907,119016,647,15777,26,70.0,True
908,134614,332,10118,9,55.0,False
909,82994,700,5175,34,80.0,True
910,124919,395,12234,6,55.0,False
911,51632,371,26289,18,35.0,False
912,140166,311,12260,20,60.0,True
913,91261,370,26493,13,45.0,False
914,46728,617,39501,12,40.0,False
915,111560,552,35462,21,50.0,False
916,100008,655,46895,19,60.0,True
917,33534,768,26209,11,60.0,True
918,148872,580,42162,34,65.0,True
919,81645,424,25165,4,35.0,False
920,107580,512,34165,2,40.0,False
921,103975,499,26996,2,40.0,False
922,116900,796,31235,4,75.0,True
923,33552,465,12179,1,15.0,False
924,41003,579,11059,28,30.0,False
925,114246,835,43009,6,85.0,True
926,86179,555,25552,15,45.0,False
927,47786,525,7330,10,35.0,False
928,143619,512,36501,25,50.0,False
929,90515,711,43860,20,65.0,True
930,53819,344,5412,13,45.0,False
931,36590,475,17511,6,20.0,False
932,64099,625,44671,30,50.0,False
933,79689,815,39500,0,65.0,True
934,72906,549,41616,5,30.0,False
935,57742,338,16601,38,40.0,False
936,89598,833,28190,18,85.0,True
937,72840,355,44581,15,35.0,False
938,74236,752,42273,0,55.0,False
939,129775,428,7013,11,60.0,True
940,145296,778,21412,10,90.0,True
941,79692,759,42654,12,75.0,True
942,66471,782,29926,27,70.0,True
943,128567,737,6454,19,85.0,True
944,139041,764,19561,24,90.0,True
945,85255,304,1841,32,55.0,False
946,63065,693,33083,19,60.0,True
947,139433,466,13728,27,60.0,True
948,40735,677,46642,3,40.0,False
949,91644,670,42350,1,50.0,False
950,32540,560,17214,38,25.0,False
951,128176,707,47272,37,75.0,True
952,100702,558,46340,19,45.0,False
953,36826,411,42692,36,25.0,False
954,75870,615,1420,10,70.0,True
955,59389,741,12182,11,80.0,True
956,115215,761,38164,13,85.0,True
957,38993,718,29883,40,50.0,False
958,132397,583,5211,21,75.0,True
959,115426,342,7346,13,60.0,True
960,35276,645,40608,27,40.0,False
961,128858,708,25801,39,80.0,True
962,34067,442,2682,38,40.0,False
963,62411,786,34745,26,70.0,True
964,56130,346,49222,20,35.0,False
965,139999,402,49121,24,50.0,False
966,32671,608,45109,35,40.0,False
967,111439,549,14870,10,55.0,False
968,49973,464,22397,24,25.0,False
969,61266,439,36031,40,35.0,False
970,46544,366,43204,21,25.0,False
971,92070,747,16293,14,85.0,True
972,117747,418,38541,23,50.0,False
973,44993,494,26437,27,25.0,False
974,103920,527,7985,25,60.0,True
975,58569,766,10661,38,80.0,True
976,90952,426,18920,36,50.0,False
977,121680,456,47973,13,50.0,False
978,63586,701,20601,10,65.0,True
979,130518,373,35592,18,50.0,False
980,78351,355,47503,19,40.0,False
981,51992,514,15295,12,40.0,False
982,109415,685,28991,10,75.0,True
983,109593,827,43604,21,90.0,True
984,128032,546,26994,31,55.0,False
985,124156,774,43618,24,85.0,True
986,45012,821,15741,1,55.0,False
987,131946,795,43244,27,85.0,True
988,137387,320,26807,35,55.0,False
989,51465,427,14596,7,35.0,False
990,70768,340,9442,36,45.0,False
991,44168,605,24826,34,40.0,False
992,105849,831,20228,34,95.0,True
993,33365,514,46084,6,20.0,False
994,70888,520,9795,38,45.0,False
995,105470,566,26020,10,55.0,False
996,118781,848,14353,4,85.0,True
997,149016,823,40645,10,90.0,True
998,79192,379,18702,7,45.0,False
999,81990,641,18907,9,60.0,True
1000,123718,687,7881,7,80.0,True
1001,55995,588,37145,17,50.0,False
1002,39961,712,32251,37,50.0,False
1003,107607,687,38195,17,75.0,True
1004,120520,768,12999,28,90.0,True
1005,138864,612,42656,5,60.0,True
1006,112213,395,11820,36,55.0,False
1007,61830,734,45370,32,60.0,True
1008,43356,307,47803,27,25.0,False
1009,121382,836,15750,11,95.0,True
1010,131250,682,8420,21,85.0,True
1011,69529,571,14963,0,30.0,False
1012,141449,336,31346,39,55.0,False
1013,119687,409,1337,22,60.0,True
1014,108697,841,34706,9,85.0,True
1015,135582,683,20613,23,80.0,True
1016,45866,465,10166,22,35.0,False
1017,134363,341,9760,25,60.0,True
1018,104177,572,8785,26,60.0,True
1019,132581,434,8191,6,55.0,False
1020,35383,650,29158,38,40.0,False
1021,75508,553,41475,9,35.0,False
1022,99827,739,14003,30,75.0,True
1023,86148,452,16032,7,45.0,False
1024,116706,504,6959,3,50.0,False
1025,78571,790,5020,32,90.0,True
1026,39038,728,17185,20,50.0,False
1027,96317,586,40749,6,50.0,False
1028,114874,313,45758,35,50.0,False
1029,74725,841,40630,23,75.0,True
1030,31658,342,39440,12,25.0,False
1031,141355,506,35967,9,45.0,False
1032,85057,655,24986,28,60.0,True
1033,137784,322,11940,38,60.0,True
1034,94251,707,33442,34,70.0,True
1035,43833,710,40794,17,50.0,False
1036,86822,837,17962,19,90.0,True
1037,77472,543,20126,2,35.0,False
1038,113307,352,43101,15,50.0,False
1039,146860,570,48322,8,45.0,False
1040,138620,524,48872,17,50.0,False
1041,90258,563,42040,40,40.0,False
1042,122708,704,11200,28,85.0,True
1043,50052,770,13125,11,75.0,True
1044,87080,481,26834,38,45.0,False
1045,53086,402,48468,33,35.0,False
1046,126180,313,43236,2,40.0,False
1047,98386,646,47363,5,50.0,False
1048,115256,639,32385,9,60.0,True
1049,65400,603,7721,32,60.0,True
1050,110728,694,10658,22,85.0,True
1051,135932,803,12112,7,95.0,True
1052,100539,386,3840,38,60.0,True
1053,131533,608,41944,18,65.0,True
1054,93372,302,10741,9,45.0,False
1055,90931,737,48625,17,65.0,True
1056,87091,734,32541,26,70.0,True
1057,138230,809,36307,34,90.0,True
1058,125817,389,16413,23,55.0,False
1059,107656,361,23894,23,55.0,False
1060,65179,731,16892,13,65.0,True
1061,72245,734,25358,3,55.0,False
1062,141635,444,6176,15,60.0,True
1063,62177,443,35566,19,35.0,False
1064,138885,332,40595,11,50.0,False
1065,41359,813,21056,14,65.0,True
1066,66559,516,27240,39,35.0,False
1067,145557,620,43775,25,65.0,True
1068,89087,406,6099,23,55.0,False
1069,61963,366,14887,38,45.0,False
1070,128366,546,18640,5,50.0,False
1071,90910,395,21224,0,35.0,False
1072,104691,432,47049,6,40.0,False
1073,109997,691,32257,37,75.0,True
1074,117580,537,15132,9,50.0,False
1075,79674,647,20060,23,60.0,True
1076,74092,456,38152,40,35.0,False
1077,33761,810,7167,29,75.0,True
1078,94789,391,5661,11,55.0,False
1079,141536,443,9124,36,60.0,True
1080,72600,621,25489,5,50.0,False
1081,53834,550,46858,35,35.0,False
1082,93904,374,15617,24,50.0,False
1083,57802,411,6624,11,45.0,False
1084,76507,366,21793,21,45.0,False
1085,134573,459,31799,9,50.0,False
1086,63862,740,32025,13,70.0,True
1087,74608,385,10288,4,35.0,False
1088,66655,519,44885,16,35.0,False
1089,145385,468,14015,22,60.0,True
1090,108139,698,1650,35,85.0,True
1091,121905,624,1929,9,70.0,True
1092,145357,569,35124,0,40.0,False
1093,66211,730,46642,34,60.0,True
1094,102848,314,25265,23,55.0,False
1095,31330,723,27895,22,50.0,False
1096,97715,769,29074,23,80.0,True
1097,55042,590,47012,39,50.0,False
1098,41221,316,41387,26,25.0,False
1099,61635,333,44759,18,35.0,False
1100,124381,427,23977,29,55.0,False
1101,83271,529,34263,18,40.0,False
1102,94038,724,3141,0,65.0,True
1103,102768,740,16848,35,90.0,True
1104,129374,431,42698,24,50.0,False
1105,61499,429,34046,7,30.0,False
1106,120519,630,14353,5,65.0,True
1107,92402,380,38473,24,40.0,False
1108,114659,604,13702,34,70.0,True
1109,123302,581,6437,9,70.0,True
1110,94332,409,10295,18,50.0,False
1111,88743,700,7597,31,80.0,True
1112,133931,621,42520,28,65.0,True
1113,32260,795,41239,38,60.0,True
1114,42196,323,34947,32,25.0,False
1115,68566,525,6468,8,45.0,False
1116,59045,778,49837,31,70.0,True
1117,83005,702,7743,37,80.0,True
1118,120673,756,28770,38,90.0,True
1119,61890,661,25507,40,50.0,False
1120,70135,843,24085,25,80.0,True
1121,117026,520,44054,23,50.0,False
1122,106225,518,31498,36,50.0,False
1123,78368,839,15251,6,85.0,True
1124,92031,745,21826,20,85.0,True
1125,102544,763,12215,38,90.0,True
1126,99588,304,31262,18,45.0,False
1127,75056,781,7233,26,90.0,True
1128,85771,805,41129,3,70.0,True
1129,127771,329,15681,3,45.0,False
1130,102140,495,48455,23,45.0,False
1131,73357,376,18283,21,45.0,False
1132,76112,422,9276,20,50.0,False
1133,122124,834,35576,15,90.0,True
1134,89473,531,7016,16,55.0,False
1135,65509,510,46545,4,25.0,False
1136,70189,492,32958,6,30.0,False
1137,62951,764,43945,9,65.0,True
1138,60217,825,14305,25,85.0,True
1139,45814,404,10652,29,35.0,False
1140,124540,787,44377,33,85.0,True
1141,55242,706,33911,27,60.0,True
1142,71359,498,20267,12,40.0,False
1143,45670,351,43358,15,25.0,False
1144,127370,844,7621,17,100.0,True
1145,100236,574,33451,13,50.0,False
1146,129901,489,33980,39,50.0,False
1147,120461,371,11921,11,60.0,True
1148,54267,481,18290,4,30.0,False
1149,55105,301,33001,15,35.0,False
1150,58361,815,11964,9,80.0,True
1151,126810,563,44477,31,50.0,False
1152,93464,795,8389,17,90.0,True
1153,66241,665,33625,1,35.0,False
1154,124972,498,25758,40,55.0,False
1155,107278,479,18387,22,55.0,False
1156,129641,832,46995,21,90.0,True
1157,98765,810,45926,9,75.0,True
1158,108222,366,20315,0,40.0,False
1159,67093,740,24085,0,60.0,True
1160,43176,446,49041,12,25.0,False
1161,139134,695,28693,25,80.0,True
1162,55443,746,45493,20,70.0,True
1163,68829,504,20730,19,40.0,False
1164,59816,747,7294,8,75.0,True
1165,77301,777,28558,26,80.0,True
1166,53519,609,16902,37,55.0,False
1167,69618,428,27407,0,25.0,False
1168,31854,641,39950,6,35.0,False
1169,122801,354,46978,13,50.0,False
1170,100010,458,20719,40,55.0,False
1171,46591,417,5400,0,20.0,False
1172,65954,325,34148,28,35.0,False
1173,35965,566,41157,28,25.0,False
1174,37146,474,34522,34,25.0,False
1175,102529,700,26285,6,70.0,True
1176,68290,698,1722,37,75.0,True
1177,121411,442,31664,29,50.0,False
1178,46551,837,26599,32,65.0,True
1179,113606,585,44151,19,65.0,True
1180,143830,484,38751,32,50.0,False
1181,128669,656,39305,39,65.0,True
1182,94340,408,33730,30,45.0,False
1183,43446,478,48720,24,25.0,False
1184,144389,752,25531,38,90.0,True
1185,31607,504,13826,16,25.0,False
1186,105243,388,39149,1,35.0,False
1187,67268,717,38243,34,60.0,True
1188,91524,785,33823,22,80.0,True
1189,92746,372,38299,5,35.0,False
1190,87733,638,2477,14,70.0,True
1191,74657,461,19878,4,30.0,False
1192,54164,413,39192,30,35.0,False
1193,36734,642,4892,8,45.0,False
1194,63092,336,23665,4,30.0,False
1195,142947,577,48404,2,40.0,False
1196,92616,533,2405,3,45.0,False
1197,44953,793,4417,24,75.0,True
1198,137756,748,8732,39,95.0,True
1199,38564,310,15884,26,25.0,False
1200,82521,358,6020,3,45.0,False
1201,94454,599,9501,38,65.0,True
1202,39710,806,47219,22,65.0,True
1203,105631,599,43837,15,60.0,True
1204,112502,797,19335,5,85.0,True
1205,119974,515,9044,23,60.0,True
1206,37026,764,8486,1,55.0,False
1207,49887,807,2235,24,80.0,True
1208,49555,353,44280,19,25.0,False
1209,136318,521,2792,21,60.0,True
1210,103772,594,36046,29,65.0,True
1211,69824,778,49865,15,70.0,True
1212,41164,602,23120,36,40.0,False
1213,62530,427,21112,36,40.0,False
1214,45525,309,31568,2,15.0,False
1215,103147,381,19117,39,55.0,False
1216,130197,565,33435,8,45.0,False
1217,84548,488,45855,32,40.0,False
1218,109471,565,17871,1,40.0,False
1219,108135,379,34222,28,50.0,False
1220,133643,373,43066,27,50.0,False
1221,111057,683,31846,18,75.0,True
1222,59581,516,21519,32,40.0,False
1223,131671,333,44061,9,45.0,False
1224,98494,728,36321,7,65.0,True
1225,79856,751,21770,17,80.0,True
1226,89049,536,30872,20,45.0,False
1227,149079,670,43816,30,75.0,True
1228,88028,717,45178,37,65.0,True
1229,68974,718,28592,32,60.0,True
1230,142743,423,28435,16,55.0,False
1231,107139,324,46222,10,45.0,False
1232,86207,547,47660,18,40.0,False
1233,70026,759,27796,40,75.0,True
1234,104531,821,6491,9,95.0,True
1235,111399,480,34336,37,50.0,False
1236,37894,830,35419,37,65.0,True
1237,109905,446,3748,13,60.0,True
1238,127004,469,8769,18,60.0,True
1239,43006,408,16183,17,30.0,False
1240,129973,340,36378,34,50.0,False
1241,57235,736,48978,28,60.0,True
1242,111987,755,29328,31,85.0,True
1243,57659,376,22437,10,40.0,False
1244,64687,743,7582,33,80.0,True
1245,116563,440,39426,24,50.0,False
1246,40641,808,19520,8,60.0,True
1247,50585,802,37551,39,75.0,True
1248,61439,540,42793,22,35.0,False
1249,52782,801,42289,25,75.0,True
1250,102350,594,28498,28,65.0,True
1251,39838,655,46676,25,40.0,False
1252,50517,329,20066,17,40.0,False
1253,30350,625,27950,25,40.0,False
1254,83545,647,42698,2,45.0,False
1255,89048,412,41193,39,40.0,False
1256,120357,661,37234,4,55.0,False
1257,107832,705,48043,14,70.0,True
1258,91592,313,3364,1,40.0,False
1259,68175,608,2588,14,65.0,True
1260,34278,434,49531,17,25.0,False
1261,60340,455,7262,37,45.0,False
1262,67762,824,49724,1,60.0,True
1263,122662,395,15565,26,55.0,False
1264,67056,808,48681,25,75.0,True
1265,122141,706,16211,28,80.0,True
1266,142670,397,37758,10,50.0,False
1267,89510,835,48384,36,80.0,True
1268,39329,454,3392,20,40.0,False
1269,120096,800,36755,31,90.0,True
1270,60595,407,28898,4,25.0,False
1271,64675,339,28799,31,35.0,False
1272,133262,420,29539,18,55.0,False
1273,133710,469,10274,18,60.0,True
1274,111927,783,31335,13,85.0,True
1275,107304,785,1643,20,95.0,True
1276,116662,396,36240,29,50.0,False
1277,135369,531,23607,40,55.0,False
1278,55928,676,41927,25,60.0,True
1279,85723,405,48884,13,40.0,False
1280,45043,583,49317,39,40.0,False
1281,101376,450,10393,10,55.0,False
1282,59466,735,44571,30,60.0,True
1283,114886,785,24264,19,90.0,True
1284,49528,584,47618,9,35.0,False
1285,149067,745,43735,22,85.0,True
1286,64816,495,26064,23,35.0,False
1287,138348,559,33951,0,40.0,False
1288,48643,580,41977,3,30.0,False
1289,39359,802,12388,30,70.0,True
1290,37816,481,9627,5,25.0,False
1291,51747,584,13725,39,55.0,False
1292,133891,675,34838,0,60.0,True
1293,70319,451,48772,17,35.0,False
1294,107993,477,42635,0,35.0,False
1295,128167,774,6777,7,90.0,True
1296,138034,473,1684,13,60.0,True
1297,104607,495,49982,8,40.0,False
1298,67828,723,15808,12,70.0,True
1299,87560,394,33105,22,45.0,False
1300,46299,337,39353,24,25.0,False
1301,91433,512,23425,32,45.0,False
1302,120266,567,3060,7,55.0,False
1303,69857,686,44142,37,60.0,True
1304,121715,462,28617,30,55.0,False
1305,82757,767,39900,36,75.0,True
1306,65683,645,32624,25,50.0,False
1307,95597,710,39867,1,50.0,False
1308,100776,433,44477,21,45.0,False
1309,94722,705,11835,29,75.0,True
1310,87377,541,14324,27,50.0,False
1311,40543,652,7547,30,50.0,False
1312,108385,548,7279,24,60.0,True
1313,35224,703,36003,4,40.0,False
1314,146578,540,25191,23,55.0,False
1315,86626,441,33764,12,45.0,False
1316,126276,454,19675,19,55.0,False
1317,72247,829,7975,29,85.0,True
1318,109129,464,21907,8,50.0,False
1319,62816,732,4572,19,75.0,True
1320,33390,643,36063,23,40.0,False
1321,41970,453,1455,21,40.0,False
1322,60005,588,3611,7,60.0,True
1323,118381,603,2542,34,75.0,True
1324,139570,414,24412,2,45.0,False
1325,142789,741,19002,22,90.0,True
1326,105392,681,3509,9,80.0,True
1327,106955,645,42729,19,65.0,True
1328,32719,743,8630,12,65.0,True
1329,130238,683,38574,30,75.0,True
1330,118117,346,40624,25,50.0,False
1331,137665,432,19007,17,55.0,False
1332,65325,526,5176,39,50.0,False
1333,105529,698,32169,35,75.0,True
1334,35273,515,35880,10,25.0,False
1335,130022,385,14602,33,55.0,False
1336,129125,470,41911,22,50.0,False
1337,52962,540,25594,34,35.0,False
1338,91669,596,12706,10,65.0,True
1339,98021,728,40272,17,65.0,True
1340,115394,701,15752,25,80.0,True
1341,87963,845,22892,29,85.0,True
1342,66458,493,42708,1,20.0,False
